Name,Project Title,Amount($),Fiscal Year,Program
"Rumble, Stephen",Enabling next generation internet applications with novel datacenter storage,21000,2011-2012,Postgraduate Scholarships - Doctoral
"Rumble, Stephen",Enabling next generation internet applications with novel datacenter storage,21000,2012-2013,Postgraduate Scholarships - Doctoral
"Runions, Adam",Comparative Computational Morphodynamics,34000,2023-2024,Discovery Grants Program - Individual
"Ruppert, Eric",Algorithms for shared-memory systems,28000,2022-2023,Discovery Grants Program - Individual
"Ruuth, Steven",Efficient algorithms for evolving continuum processes on curved surfaces,48000,2022-2023,Discovery Grants Program - Individual
"Ryan, Caitlin",Attacks and Defenses Against CPU Errata Using Inert Data,4500,2016-2017,University Undergraduate Student Research Awards
"Saad, Sherif","Towards Scalable, Resilient, and Interpretable Approaches for Machine Learning based Malware Detectors",29000,2023-2024,Discovery Grants Program - Individual
"Saad, Sherif","Towards Scalable, Resilient, and Interpretable Approaches for Machine Learning based Malware Detectors",29000,2022-2023,Discovery Grants Program - Individual
"Sabetzadeh, Mehrdad",Infusing Artificial Intelligence into Requirements Quality Assurance,40000,2022-2023,Discovery Grants Program - Individual
"Sabetzadeh, Mehrdad",Infusing Artificial Intelligence into Requirements Quality Assurance,40000,2021-2022,Discovery Grants Program - Accelerator Supplements
"Sabetzadeh, Mehrdad",Infusing Artificial Intelligence into Requirements Quality Assurance,40000,2021-2022,Discovery Grants Program - Individual
"Sabetzadeh, Mehrdad",Infusing Artificial Intelligence into Requirements Quality Assurance,40000,2022-2023,Discovery Grants Program - Accelerator Supplements
"Sabetzadeh, Mehrdad","AI-enabled, self-adaptive software-defined networking for the Small Office and Home Office (SOHO)",25000,2021-2022,Alliance Grants
"Sabetzadeh, Mehrdad",Infusing Artificial Intelligence into Requirements Quality Assurance,40000,2020-2021,Discovery Grants Program - Individual
"Sabetzadeh, Mehrdad",Infusing Artificial Intelligence into Requirements Quality Assurance,40000,2020-2021,Discovery Grants Program - Accelerator Supplements
"Sabetzadeh, Mehrdad",Infusing Artificial Intelligence into Requirements Quality Assurance,12500,2020-2021,Discovery Launch Supplement
"Sabetzadeh, MehrdadM",Simulation-based Testing and Compliance Monitoring for IoT Systems,20000,2022-2023,Alliance Grants
"Sabourin, NicoleN",Using Rare Event Machine Learning Techniques to Improve Newborn Screening for Congenital Hypothyroid,6000,2022-2023,University Undergraduate Student Research Awards
"Sabourin, Robert",Systèmes adaptatifs et évolutifs pour l'authentification des signatures manuscrites dans les environnements dynamiques,55000,2022-2023,Discovery Grants Program - Individual
"Sabourin, Robert",Conception d'un système robuste pour le diagnostic des roulements et des engrenages en milieu industriel,25000,2011-2012,Engage Grants Program
"Sachdeva, Sushant",Design of Fast Algorithms using Continuous Methods,33000,2022-2023,Discovery Grants Program - Individual
"Sadaoui, Samira",Adaptive Detection of Shill Bidding and Multi-Objective Winner Determination,23000,2021-2022,Discovery Grants Program - Individual
"Sadaoui, Samira",Adaptive Detection of Shill Bidding and Multi-Objective Winner Determination,23000,2022-2023,Discovery Grants Program - Individual
"Sadaoui, Samira",Adaptive Detection of Shill Bidding and Multi-Objective Winner Determination,23000,2020-2021,Discovery Grants Program - Individual
"Sadaoui, Samira",Adaptive Detection of Shill Bidding and Multi-Objective Winner Determination,23000,2019-2020,Discovery Grants Program - Individual
"Sadaoui, Samira",Adaptive Detection of Shill Bidding and Multi-Objective Winner Determination,23000,2018-2019,Discovery Grants Program - Individual
"Sadat, Fatiha",Unsupervised and Transfer Learning for Words segmentation in Korean Social Media,12500,2018-2019,Engage Plus Grants Program
"Sadat, Fatiha",Developing a Domain-based Ontology using Permanent Banking Instructions,25000,2017-2018,Engage Grants Program
"Sadat, Fatiha",Towards a hybrid approach to cross-language information retrieval,15000,2012-2013,Discovery Grants Program - Individual
"Sadat, Fatiha",Arabic social media analysis tools (ASMAT),25000,2012-2013,Engage Grants Program
"Sadat, Fatiha",Towards a hybrid approach to cross-language information retrieval,15000,2011-2012,Discovery Grants Program - Individual
"Sadat, Fatiha",Towards a hybrid approach to cross-language information retrieval,15000,2010-2011,Discovery Grants Program - Individual
"Sadat, Fatiha",Towards a hybrid approach to cross-language information retrieval,15000,2013-2014,Discovery Grants Program - Individual
"Sadat, Fatiha",Towards a hybrid approach to cross-language information retrieval,15000,2014-2015,Discovery Grants Program - Individual
"Sadat, Fatiha",Coping with Zero-Shot Translation and its Explainability,34000,2022-2023,Discovery Grants Program - Individual
"Sadeghian, AlirezaA",L2M NSERC - Neuromuscular Electrical Stimulation (NMES) Smart Garments,20000,2022-2023,Idea to Innovation
"SadoghiHamedani, Mohammad",Declarative Approach to Data Quality,21000,2010-2011,Postgraduate Scholarships - Doctoral
"Sadprasid, BookKaraAlexa","Pain Management Software for Everyday, Public Use",6000,2021-2022,University Undergraduate Student Research Awards
"Saeedi, ParvanehAkhtar",Cloud-based license plate recognition interface for IP cameras,24724,2014-2015,Engage Grants Program
"SAFAVINAEINI, REYHANEH",Long-term security for a connected world,55000,2020-2021,Discovery Grants Program - Individual
"SAFAVINAEINI, REYHANEH",Long-term security for a connected world,55000,2021-2022,Discovery Grants Program - Individual
"SAFAVINAEINI, REYHANEH",Long-term security for a connected world,55000,2022-2023,Discovery Grants Program - Individual
"SafaviNaeini, Reyhaneh",Long-term security for a connected world,55000,2019-2020,Discovery Grants Program - Individual
"Saha, Baidya Nath",A unifying framework for integrating domain knowledge into machine learning algorithms for multidisciplinary industrial applications,24000,2023-2024,Discovery Grants Program - Individual
"Saha, BaidyaNath",A unifying framework for integrating domain knowledge into machine learning algorithms for multidisciplinary industrial applications,24000,2022-2023,Discovery Grants Program - Individual
"Saha, BaidyaNath",A unifying framework for integrating domain knowledge into machine learning algorithms for multidisciplinary industrial applications,24000,2021-2022,Discovery Grants Program - Individual
"Saha, BaidyaNath",A unifying framework for integrating domain knowledge into machine learning algorithms for multidisciplinary industrial applications,12500,2020-2021,Discovery Launch Supplement
"Saha, BaidyaNath",A unifying framework for integrating domain knowledge into machine learning algorithms for multidisciplinary industrial applications,24000,2020-2021,Discovery Grants Program - Individual
"Sahraoui, Houari",From examples to knowledge to software engineering support and automation,41000,2020-2021,Discovery Grants Program - Individual
"Sahraoui, Houari",From examples to knowledge to software engineering support and automation,41000,2019-2020,Discovery Grants Program - Individual
"Sahraoui, Houari",Addressing issues in software engineering automation using visualization and search-based methods,35000,2010-2011,Discovery Grants Program - Individual
"Sahraoui, Houari",Addressing issues in software engineering automation using visualization and search-based methods,35000,2011-2012,Discovery Grants Program - Individual
"Sahraoui, Houari",Addressing issues in software engineering automation using visualization and search-based methods,35000,2013-2014,Discovery Grants Program - Individual
"Sahraoui, Houari",Addressing issues in software engineering automation using visualization and search-based methods,35000,2012-2013,Discovery Grants Program - Individual
"Sahraoui, Houari",From examples to knowledge to software engineering support and automation,41000,2021-2022,Discovery Grants Program - Individual
"Sahraoui, Houari",From examples to knowledge to software engineering support and automation,41000,2022-2023,Discovery Grants Program - Individual
"Sahraoui, HouariHA",Digital twins for vertical farming,30000,2022-2023,Alliance Grants
"Sahraoui, HouariHA",Toward Robust and Adaptable Deep Learning Models of Code,25000,2022-2023,Alliance Grants
"Saied, Mohamed",Leveraging the wisdom of the crowd to build an ecosystem of software ecosystems in the context of polyglot microservices-based applications,24000,2022-2023,Discovery Grants Program - Individual
"Saied, Mohamed",Leveraging the wisdom of the crowd to build an ecosystem of software ecosystems in the context of polyglot microservices-based applications,24000,2021-2022,Discovery Grants Program - Individual
"Saied, Mohamed",Leveraging the wisdom of the crowd to build an ecosystem of software ecosystems in the context of polyglot microservices-based applications,24000,2020-2021,Discovery Grants Program - Individual
"Saied, Mohamed",Leveraging the wisdom of the crowd to build an ecosystem of software ecosystems in the context of polyglot microservices-based applications,12500,2020-2021,Discovery Launch Supplement
"Sajjad, Hassan",Fine-grained Interpretation of Deep Neural Network Models of NLP,29000,2022-2023,Discovery Grants Program - Individual
"Salah, Aziz",Service management system: protocol similarity search,15000,2016-2017,Discovery Grants Program - Individual
"Salah, Aziz",Service management system: protocol similarity search,15000,2012-2013,Discovery Grants Program - Individual
"Salah, Aziz",Service management system: protocol similarity search,15000,2011-2012,Discovery Grants Program - Individual
"Salah, Aziz",Service management system: protocol similarity search,15000,2010-2011,Discovery Grants Program - Individual
"Salah, Aziz",Service management system: protocol similarity search,15000,2013-2014,Discovery Grants Program - Individual
"Salakhutdinov, Ruslan",Learning deep neural networks,25000,2014-2015,Engage Grants Program
"Salavatipour, Mohammad",Approximation Algorithms and Hardness of Approximation for Optimization Problems,96000,2022-2023,Discovery Grants Program - Individual
"SalehiAbari, Amirali",Intelligent Group Decision Systems and Preference Learning,28000,2022-2023,Discovery Grants Program - Individual
"SalehiAbari, Omid",Bringing Wireless Internet Connectivity to Everything,28000,2022-2023,Discovery Grants Program - Individual
"Salem, Kenneth",Managed Transactional Persistence,96000,2022-2023,Discovery Grants Program - Individual
"Salihoglu, Semih",Systems and Foundations For Massive-Scale Data Management,31000,2022-2023,Discovery Grants Program - Individual
"Salomaa, Kai",Finite-state machines and their extensions: Foundational questions and applications,96000,2022-2023,Discovery Grants Program - Individual
"SalvailBérard, Adam",Étude de l'amélioration des méthodes de descente de gradient stochastique appliquées aux réseaux de neurones profonds grâce à des techniques d'optimisation avancées.,2333,2014-2015,Postgraduate Scholarships - Master's
"Saly, Pierce",Error correction of DNA sequencing data,4500,2018-2019,University Undergraduate Student Research Awards
"Samaan, Nancy",Self-Managing Named Data Networks,68000,2022-2023,Discovery Grants Program - Individual
"Samac, Luka",Data centre thermal profiling,4500,2017-2018,University Undergraduate Student Research Awards
"Samadani, AliAkbar",Automatic Affect-aware Evaluation of Subjective Preference Based on Simultaneous EEG and Near-Infrared Spectroscopy Signals,22500,2014-2015,Postdoctoral Fellowships
"Samavati, Faramarz",Surface and Volumetric Modeling for Digital Earth,56000,2022-2023,Discovery Grants Program - Individual
